HomeTeam,AwayTeam,FTHome,FTAway,HTHome,HTAway,Week
Tottenham Hotspur,Watford,2,0,1,0,36
Brighton & Hove Albion,Manchester United,1,0,0,0,37
Stoke City,Crystal Palace,1,2,1,0,37
Leicester City,West Ham United,0,2,0,1,37
Watford,Newcastle United,2,1,2,0,37
West Bromwich Albion,Tottenham Hotspur,1,0,0,0,37
AFC Bournemouth,Swansea City,1,0,1,0,37
Everton,Southampton,1,1,0,0,37
Manchester City,Huddersfield Town,0,0,0,0,37
Arsenal,Burnley,5,0,2,0,37
Chelsea,Liverpool,1,0,1,0,37
Burnley,AFC Bournemouth,1,2,1,0,38
Huddersfield Town,Arsenal,0,1,0,1,38
West Ham United,Everton,3,1,1,0,38
Southampton,Manchester City,0,1,0,0,38
Liverpool,Brighton & Hove Albion,4,0,2,0,38
Tottenham Hotspur,Leicester City,5,4,1,2,38
Manchester United,Watford,1,0,1,0,38
Crystal Palace,West Bromwich Albion,2,0,0,0,38
Newcastle United,Chelsea,3,0,1,0,38
Swansea City,Stoke City,1,2,1,2,38
